first_name,last_name,street_number,address_1,address_2,town,zipcode,state,date_of_birth,age,phone_number,soc_sec_id
lachlan,carmody,19,cade place,b,hamilton,4556,qld,19960616,31.0,02 92812617,2231206
sarah,tippins,3,keverstone circuit,,woodpark,5540,qld,19280526,13.0,04 11695119,4612010
jessica,cheshire,12,halfrey circuit,,jesmond,5172,nsw,19210205,26.0,02 02242599,3144617
natalia,tiller,73,eagle circuit,,camden,5114,nt,19351203,33.0,07 91923807,1245778
lily,blackwell,18,bindel street,cambooya,oak flats,6230,nsw,19791106,,04 45361517,2195128
nicholas,morrison,78,coane street,marina park,buninyong,6021,nsw,19560416,,03 32743845,1680803
renai,trowse,15,lascelles circuit,,bundaberg,3175,qld,19710106,,08 48341344,1346849
sophie,,24,liverpool street,,south wentworthville,2095,wa,19810505,36.0,08 32313706,2890040
lily,lomman,5449,wyselaskie circuit,morven,coonamble,3431,vic,,39.0,08 40568338,5787097
kallie,tomadini,26,bimberi crescent,calma,dalby,6023,qld,19320114,28.0,03 98033152,5922740
olivia,galbraith,68,tallara parkway,,bearii,5043,qld,19750510,30.0,02 19202583,9446801
talissa,hyland,1,badimara street,,carnegie,5163,qld,19770727,32.0,07 50826244,8476381
ambrosia,braddy,13,ambalindum street,,dungog,3042,nsw,19471114,28.0,02 97881421,1185256
zach,lisowski,8,antares crescent,garibaldi,redbank plains,3155,sa,19930521,,07 00471384,2029124
adele,quilliam,12,,,summer hill,4347,vic,19001012,9.0,08 84863234,8901519
,challenor,171,simmons place,bryntirion,yarrawonga,3225,wa,19160925,39.0,04 52921513,5516112
adam,webb,10,chevalley loop,,mont albert,,vic,19431014,11.0,07 20680550,2826430
harry,deck,7,castieau street,,bellbridge,2099,vic,19090415,29.0,04 03383934,7315809
grace,robson,2,goldstein crescent,,holsworthy,5109,vic,19510411,35.0,08 52837623,6993422
megan,dukic,188,maxworthy street,,tatura,4680,sa,19210805,,02 25136500,9126834
india,rundle,,somerset street,,bow hill,3860,nsw,19070102,,02 26970139,2191498
channing,bellchambers,132,darwinia terrace,goldview,normanhurst,6450,nsw,19950111,,04 53067236,6861519
alaiyah,nguyen,67,hansen circuit,learning earth farm,kandos,4215,act,,22.0,07 14430792,8097604
