first_name,last_name,street_number,address_1,address_2,town,zipcode,state,date_of_birth,age,phone_number,soc_sec_id
baysen,scudds,11,helemontstreet,,picton,4055,vic,19340808,29.0,03 82765568,1070893
jsohua,greej,30,muecke place,rockview,willetton,6023,wa,19164909,,02 30027583,5782396
alicia,treumekr,24,hambidge crescent,,bligh park,4216,qld,19000819,21.0,08 11540291,7788784
anna,reid,13,creswellsstreet,oxonia,parksie,4005,vim,19807429,,03 26039045,1646214
dato,natasha,96,de burgh street,,bayswater,4670,vic,19301075,23.0,08 76809985,4308494
lucas,hutcheson,6,la perousezstreet,,nightcliff,2132,sa,19960408,,04 19869383,8394626
cadwallader,alysha,7,waller crescent,arcadia,eastern heights,3147,qld,19600617,30.0,08 52328970,9033546
j.,thoope,26,backler place,hillview rmb 4280,mount beauty,3305,qld,19831208,,08 98944225,9247914
,whifqe,11,,,boorowa,4350,,19451014,33.0,04 33825035,5873058
anton,dahlef,1,booroondarga tsreet,willandra,lavington,2250,wa,19040824,26.0,03 61628114,5879250
rhys,mossman,21,gasking close,kerradan,altona meadows,2250,qld,19551007,22.0,07 20993484,4291259
harrison,campbell,14,tank street,,villejeuve,3028,vic,19501207,23.0,07 80859033,1099722
lilly,coulaokn,34,quaife place,,bowen hills,4211,,19860504,26.0,08 03511198,1181282
mitchdll,rothe,91,windich srreet,,bundeena,3149,vic,19280908,32.0,03 23681841,4182360
grace,chandlre,20,wenlocknstreet,,crestmead,2193,wa,19371215,10.0,03 07639872,1562452
ems,loosmore,1,hutcheson street,,moura,4352,vic,19900530,,07 81757198,9123567
richard,dixony,8,jerome lace,gooroomon park,clovwlly,4355,nsw,19080806,29.0,03 04764785,3315474
bailre,noack,10,morduant place,,orangs,2058,,19420617,10.0,02 35981425,9646967
abbey,rivers,8,blamey crescent,arrow park,boraloon,4740,qld,,32.0,07 32439929,7030871
jaewd,mason,26,tinderry circuit,glenlee,labrador,7000,vic,19071261,22.0,02 72300067,5426400
rosa,neumwqnn,6,hayden close,,invermay,2720,vic,19280523,27.0,08 79214415,4525164
brooke,mort lock,,carring ton road,,campbelltown,4000,vip,19001012,13.0,03 17728857,9050454
anits,felmingam,17,robson street,,corio,2517,wa,19438919,25.0,03 92928804,8119907
luke,ebert,5,,,athelstorne,2780,wa,19250510,28.0,07 68980634,4594969
joel,coulls,1,william webb drive,,robina,4553,nsw,19633615,33.0,03 93242993,5115824
braedon,clare,42,diamantina crescent,,gailes,4660,nsw,19890625,26.0,04 38931358,3914958
marcus,badmpan,24,bambridgezstreet,,duaringa,4179,vic,19640499,28.0,02 96464553,4828294
jordsan,nguyen,49,edwards street,,riverwood,5173,nsw,19741118,30.0,04 05503939,1012682
georgia,mo,19,caley ecrescent,,belgrave,2285,nswu,19701305,20.0,,5957807
lily,bowerman,3,wylde place,,moorsbbin,2842,qld,19610909,31.0,04 95234666,9981806
benjamin,caroseala,2,schaffer place,,slacks creek,3044,nsw,19161028,27.0,08 58956643,9368625
alexander,lanijng,672,,,flohear,4016,vic,19411119,23.0,07 58850601,6549370
ava,kennealy,20,cawthorn crescent,rowethorpe,carrm,2800,nsq,19221026,,04 30935200,9595605
hugh,dalmlahs,4,,juanne,bayview heights,3124,nsw,19930702,29.0,03 23034983,8013898
