,address_1_a,address_1_b,address_2_a,address_2_b,age_a,age_b,date_of_birth_a,date_of_birth_b,first_name_a,first_name_b,last_name_a,last_name_b,phone_number_a,phone_number_b,soc_sec_id_a,soc_sec_id_b,state_a,state_b,street_number_a,street_number_b,town_a,town_b,zipcode_a,zipcode_b
0,cade place,plaxe cade,b,b,31.0,31.0,19960616,19780621,lachlan,lachlan,carmody,carmody,02 92812617,02 92812617,2231206,2291206,qld,qld,19,19,hamilton,hamilton,4556,4556
1,eagle circuit,eagle circuit,,,33.0,33.0,19351203,19351203,natalia,tillre,tiller,natalia,07 91923807,07 91928307,1245778,1245778,nt,nt,73,73,camden,camden,5114,5114
2,bindel street,bindel street,cambooya,cambooya,,,19791106,19791106,lily,liplt,blackwell,blackwell,04 45361517,04 45361517,2195128,2195128,nsw,nsw,18,1,oak flats,oak flats,6230,6230
3,bimberi crescent,bimberi crescent,calma,calma,28.0,28.0,19320114,19320114,kallie,kallie,tomadini,tomadnuu,03 98033152,03 98033152,5922740,5922740,qld,qle,26,26,dalby,dalby,6023,6023
4,badimara street,badimara street,,lst hse on left,32.0,8.0,19770727,19770727,talissa,talsxa,hyland,hyland,07 50826244,07 50826244,8476381,8476381,qld,qld,1,1,carnegie,carnegie,5163,5163
5,,,,,9.0,9.0,19001012,19001012,adele,adele,quilliam,quilliam,08 84863234,08 84863234,8901519,8901519,vic,vic,12,18,summer hill,summyr ill,4347,4347
6,simmons place,simmons place,bryntirion,bryntirion,39.0,39.0,19160925,,,,challenor,chalenr,04 52921513,04 52921513,5516112,5516112,wa,wa,171,171,yarrawonga,yarrawonga,3225,3225
7,chevalley loop,chevalley loop,,,11.0,14.0,19431014,19431014,adam,ada,webb,webb,07 20680550,07 20680550,2826430,2826430,vic,vic,10,10,mont albert,mont albert,,
8,hansen circuit,hansen circuit,learning earth farm,learning earth farm,22.0,22.0,,,alaiyah,alaiyah,nguyen,ngiyej,07 14430792,07 14430792,8097604,8097604,act,act,67,65,kandos,kandos,4215,4215
9,barrington crescent,barringtoncrescent,villa 2,villa 2,22.0,22.0,19621204,19621204,lewis,lewis,stephenson,stephenson,02 46095289,02 46095289,6747909,6747909,vic,vkx,393,393,rosebud,rosebud,2135,2135
10,musgrave street,musgrave street,moline village,moline village,26.0,26.0,,,maya,amya,armfield,armfild,04 55170371,04 55170371,5510410,5510420,vic,vic,,,deniliquin,deniliuin,3122,3122
11,dobbie place,dobbielplace,,,24.0,24.0,19780526,19780526,aiden,aiden,spong,spxng,08 96770122,08 96770122,2181102,2181102,,,18,18,riverwood,riverjqood,4207,4207
12,wyles place,wyles plhace,,,,,19480211,19407211,willow,willow,zecchini,zecchini,,,1389899,1389899,nsw,nsw,21,21,yangebup,yangebup,6061,6061
13,pethebridge street,pethebridjxge street,fairholme,fairholme,6.0,,19281220,19281220,emiily,emiily,mazzone,mazzone,08 66436639,08 66436639,7868535,7868535,sa,sa,175,17,wanneroo,wanneroo,4217,4217
14,jarrahdale street,jarrahdale street,,,23.0,23.0,19960914,19960914,shannon,shannon,badman,badman,02 29205913,02 29205193,6953470,6953470,qld,qld,26,26,bonnells bay,bonnell bay,2257,2257
15,trussell place,trussell place,knackery rhs,knackery rhs,26.0,29.0,19530721,19530721,dante,dante,wooley,wooley,,,9656996,9656996,qld,qld,3,3,underdale,undedae,4858,4858
16,brickhill place,brickhill place,salmaldo caravan park,salmaldo caravan park,33.0,39.0,19380515,19380515,jesse,jess,quill,quill,02 69600295,02 69600295,1074376,1074376,nsw,nsw,12,12,moree,more,2213,2213
17,namatjira drive,namatjura drive,cluan,cluan,10.0,10.0,19150726,19150726,tayah,taah,chetter,,03 15816045,03 15816045,6877207,6877207,nsw,nsw,29,29,leongatha,leongatha,3074,3704
18,bainbridge close,bainbridbe close,ardess,ardess,36.0,,19840707,19840707,patrick,p.,haggett,haggett,04 44740695,04 44740695,1172947,1172947,nsw,nsw,50,50,mona vale,mona vale,4883,4883
19,sturt avenue,sturt avenue,,,,,19670918,19670918,sylvie,sylvie,liguoro,liguoro,02 82201357,02 82201357,8568724,8568724,nsw,nsw,84,81,vista,vista,3926,3926
20,wellington street,wellingto nstreet,,,13.0,13.0,,,jacobie,jacobkw,mason,mason,03 24581082,03 24581082,7183010,7183010,qld,qld,5,5,shellharbour,shellharvour,3149,3149
21,bunbury street,bunbury street,north western subrbs post cnt,,27.0,27.0,19090110,19090110,thomas,thomas,lazaroff,lazarlff,03 11155767,03 11155767,9489409,9489409,vic,vic,42,42,byford,byford,6076,0667
22,mcbryde crescent,,,,31.0,31.0,19811012,19811012,jaden,jaden,baleibaravi,baleibaravi,08 78431688,08 78431688,7914903,7918403,wa,wa,38,38,parkerville,parkerville,2444,2443
